<!-- Mode: physical lines (non-empty) -->

| Lines | File |
| -----:| ------ |
| 1256 | `tools/scraper/table_extractor.py` |
| 720 | `frontend/src/components/DatabaseSettings.tsx` |
| 714 | `tools/db/extract_curriculum.py` |
| 620 | `tools/scraper/main.py` |
| 576 | `backend/routers/plans.py` |
| 489 | `backend/models.py` |
| 456 | `backend/database/plans.py` |
| 440 | `backend/database/sqlite_impl.py` |
| 432 | `backend/routers/users.py` |
| 416 | `backend/database/metrics.py` |
| 413 | `frontend/src/components/batch_processor/useBatchProcessor.ts` |
| 399 | `tools/diagnostics/analyze_objectives_layout.py` |
| 398 | `tools/docx_renderer/table_cell/fill_cell.py` |
| 394 | `backend/performance_tracker.py` |
| 388 | `tools/diagnostics/comprehensive_diagnostic.py` |
| 387 | `tools/batch_processor_pkg/orchestrator.py` |
| 380 | `backend/routers/schedule.py` |
| 378 | `backend/models_slot.py` |
| 378 | `backend/llm/prompt_builder.py` |
| 377 | `backend/utils/metadata_utils.py` |
| 372 | `tools/json_repair_fixes.py` |
| 370 | `tools/batch_processor_pkg/combined_original_render.py` |
| 368 | `tools/utilities/simulate_improvements.py` |
| 366 | `backend/llm/transform_runner.py` |
| 364 | `tools/docx_parser/parser.py` |
| 362 | `backend/file_manager.py` |
| 360 | `tools/batch_processor_pkg/combine_render/multi_slot.py` |
| 359 | `tools/docx_renderer/table_cell/fill_day.py` |
| 347 | `backend/lesson_schema_models.py` |
| 346 | `backend/routers/core.py` |
| 346 | `backend/routers/lesson_steps.py` |
| 346 | `tools/validate_threshold_change_v2.py` |
| 346 | `tools/diagnostics/comprehensive_analysis_both_folders.py` |
| 345 | `tools/batch_processor_pkg/slot_flow_extract.py` |
| 344 | `backend/services/objectives_pdf_generator.py` |
| 343 | `tools/batch_processor_pkg/slot_flow.py` |
| 343 | `tools/diagnostics/slot_configuration_helper.py` |
| 339 | `tools/analyze_all_table_structures.py` |
| 338 | `tools/maintenance/fix_objectives_display.py` |
| 334 | `tools/maintenance/validate_assumptions.py` |
| 330 | `backend/progress.py` |
| 329 | `backend/llm_service.py` |
| 329 | `backend/llm/validation.py` |
| 329 | `tools/test_json_merger_samples.py` |
| 327 | `tools/docx_style_utils.py` |
| 320 | `backend/services/sentence_frames/html_builder.py` |
| 320 | `frontend/src/components/ScheduleCell.tsx` |
| 320 | `tools/batch_processor_pkg/combined_original.py` |
| 319 | `tools/markdown_to_docx.py` |
| 315 | `backend/database/curriculum.py` |
| 313 | `tools/batch_processor_pkg/extraction.py` |
| 310 | `backend/config.py` |
| 308 | `backend/database_interface.py` |
| 308 | `tools/keep_first_plan_restore_from_backup.py` |
| 308 | `tools/refactor/start_refactor.py` |
| 307 | `tools/docx_parser/images_metadata.py` |
| 296 | `tools/validate_threshold_change.py` |
| 291 | `tools/batch_processor_pkg/signatures.py` |
| 290 | `backend/llm/providers.py` |
| 290 | `tools/diagnostics/review_daniela_config.py` |
| 287 | `backend/telemetry.py` |
| 287 | `tools/diagnostics/diagnostic_hyperlink_analysis.py` |
| 283 | `tools/diagnostic_logger.py` |
| 280 | `frontend/src/components/PlanHistory.tsx` |
| 278 | `tools/batch_processor_pkg/combine_render/single_slot.py` |
| 276 | `tools/batch_processor_pkg/transform.py` |
| 275 | `frontend/src/components/schedule_input/useScheduleInput.ts` |
| 274 | `tools/docx_renderer/hyperlink_placement.py` |
| 272 | `backend/routers/slots.py` |
| 272 | `tools/maintenance/pre_implementation_audit.py` |
